Speed,Throttle,Brake,RPM,nGear,DRS,Distance
239.0,75.0,False,10920.0,6,1,325.31805555555553
240.1,83.8,False,11027.433333333332,6,1,334.1353930083178
242.0,99.0,False,11213.0,6,1,349.5180555555555
243.78181818181818,99.0,False,11281.727272727272,6,1,357.1849442123743
246.64545454545456,99.0,False,11392.181818181818,6,1,369.6499490656202
249.0,99.0,False,11483.0,6,1,379.9513888888889
252.0,99.0,False,11590.0,6,1,396.7513888888888
252.18,99.0,False,11597.71,6,1,397.5992380907973
253.66500096,99.0,False,11661.31754112,6,1,404.6293116238903
256.06500096,99.0,False,11764.11754112,6,1,416.112396910067
258.0,99.0,False,11847.0,6,1,425.4180555555555
261.0,99.0,False,11890.0,6,1,437.0180555555555
261.62000128,99.0,False,11902.86502656,6,1,439.2837542015592
265.0,99.0,False,11973.0,6,1,451.7402777777778
265.76500096,99.0,False,11637.41957888,6,1,455.5220465743589
268.0,99.0,False,10657.0,7,1,466.62916666666666
270.26500096,99.0,False,10823.1000704,7,1,477.98550974485545
271.0,99.0,False,10877.0,7,1,481.68472222222215
272.42500053333333,99.0,False,10941.837524266666,7,1,494.63396564486686
273.0,99.0,False,10968.0,7,1,499.88472222222214
274.6178578285714,99.0,False,11022.46788022857,7,1,511.43669163677185
276.0,99.0,False,11069.0,7,1,521.3513888888889
276.6959250265229,99.0,False,11100.31662619353,7,1,529.9031471451926
277.8244514458781,99.0,False,11151.100315064514,7,1,543.8153521470065
278.0,99.0,False,11159.0,7,1,545.9852777777777
279.79359471455535,99.0,False,11224.466207081272,7,1,565.5803058839803
280.0,99.0,False,11232.0,7,1,567.8408333333333
281.0,99.0,False,11297.0,7,1,580.3297222222222
281.4718752,99.0,False,11300.7750016,7,1,592.1437661219089
282.0,99.0,False,11305.0,7,1,605.396388888889
282.76,99.0,False,11332.36,7,1,617.3414280866093
283.0,99.0,False,11341.0,7,1,621.1186111111111
284.0,99.0,False,11347.0,7,1,636.8963888888889
284.03,96.36,False,11331.76,7,1,637.8469737685923
284.78,30.36,False,10950.76,7,1,661.6886862410903
285.0,11.0,False,10839.0,7,1,668.5630555555556
276.76666666666665,4.033333333333333,False,11528.066666666668,7,1,680.2134759351301
272.0,0.0,True,11927.0,7,1,686.6963888888889
249.64,0.0,True,11953.66,7,1,698.5660512970433
246.0,0.0,True,11958.0,7,1,700.3630555555555
244.5,0.0,True,11914.633333333333,7,1,701.1201404150413
201.0,0.0,True,10657.0,5,1,720.4630555555556
200.29285302857141,0.0,True,10637.907031771429,5,1,721.0421357534669
183.0,0.0,True,10171.0,5,1,734.6963888888889
172.2468688,0.0,True,10464.8032944,5,1,739.6642808607864
152.0,0.0,True,11018.0,3,1,748.2075000000001
146.02857142857144,0.0,True,10135.857142857143,3,1,754.2778345522748
141.0,0.0,True,9393.0,3,1,759.1741666666667
139.53610808888888,0.0,True,9328.416533333333,3,1,760.3137518135446
127.25833031111111,0.0,True,8786.749866666667,3,1,769.2671435013458
124.0,0.0,True,8643.0,3,1,771.5741666666668
119.0,0.0,False,8407.0,3,1,779.5075000000002
116.8,7.7,False,8231.55,3,1,783.744354345024
115.0,14.0,False,8088.0,3,1,787.1741666666668
114.93888853333333,13.755554133333334,False,8085.861098666666,3,1,787.523291591219
113.71111111111111,8.844444444444445,False,8042.888888888889,3,1,794.5204452612754
113.0,6.0,True,8018.0,3,1,798.4741666666669
112.2,6.96,True,7979.12,3,1,799.4450731799243
108.0,12.0,False,7775.0,3,1,804.4741666666669
108.61071451428572,28.489291885714284,False,7732.860698514286,3,1,809.6428329022075
109.0,39.0,False,7706.0,3,1,812.9519444444446
109.0,27.8888832,False,7722.6666752,3,1,820.5326695359951
109.0,23.0,False,7730.0,3,1,823.8519444444446
108.0562496,10.731244799999999,False,7760.2000128,3,1,828.3830894734573
108.0,10.0,False,7762.0,3,1,828.6519444444446
107.14499968,22.8250048,False,7809.88001792,3,1,833.736019255063
107.0,25.0,False,7818.0,3,1,834.5963888888891
107.0,37.0,False,7941.0,3,1,839.3519444444447
107.76071497142857,38.014286628571426,False,7990.446473142857,3,1,841.4837043797581
109.90357211428571,40.87142948571429,False,8129.732187428572,3,1,847.6235169650068
110.0,41.0,False,8136.0,3,1,847.9075000000001
113.85714368206217,50.428573445040854,False,8528.142941009653,3,1,853.4389732710945
118.36842115393746,61.45614059851379,False,8986.78948398364,3,1,860.1479717427587
119.0,63.0,False,9051.0,3,1,861.0966666666668
124.0,59.0,False,9266.0,3,1,868.0200000000002
127.84750144,41.47249344,False,9351.500032,3,1,874.2592817173526
133.0,18.0,False,9466.0,3,1,882.7977777777779
129.85416533333333,7.304162133333332,False,10085.729429333333,3,1,888.2389814771158
128.0,1.0,True,10451.0,3,1,891.3311111111113
119.0,1.0,True,9924.0,2,1,896.6200000000002
110.0,2.0,True,9141.0,2,1,902.7311111111113
106.80499712,2.0,True,8820.78971136,2,1,904.7688574845233
101.0,2.0,True,8239.0,2,1,908.3422222222224
97.0,2.0,True,8246.0,2,1,912.6533333333335
96.7249984,2.0458336,True,8219.416512,2,1,912.9418579537648
92.2,2.8,True,7782.0,2,1,917.5352476449353
91.0,3.0,True,7666.0,2,1,918.7200000000001
86.60416533333333,3.0,True,7387.304082133333,2,1,923.7837926436938
86.0,3.0,True,7349.0,2,1,924.4533333333335
78.6687488,1.3708330666666666,True,6709.551978666666,2,1,932.8620530106224
77.0,1.0,True,6564.0,2,1,934.7200000000001
75.97045410909091,0.6568180363636364,True,6452.465861818182,2,1,937.8739510356952
74.87272727272727,0.2909090909090909,True,6333.545454545455,2,1,941.2125740700426
74.0,0.0,False,6239.0,2,1,943.7644444444445
68.48333226666666,12.872224711111112,False,6418.291701333334,2,1,950.0105753760014
