year,round,raceId,driverId,constructorId,circuitId,grid,qualifying_position,podium
2010,6,342,17,9,6,1.0,1.0,1
2010,6,342,20,9,6,3.0,3.0,1
2010,6,342,9,4,6,2.0,2.0,1
2010,6,342,13,6,6,4.0,4.0,0
2010,6,342,1,1,6,5.0,5.0,0
2010,6,342,4,6,6,24.0,24.0,0
2010,6,342,3,131,6,6.0,6.0,0
2010,6,342,16,10,6,12.0,12.0,0
2010,6,342,24,10,6,10.0,10.0,0
2010,6,342,67,5,6,13.0,13.0,0
2010,6,342,153,5,6,17.0,17.0,0
2010,6,342,30,131,6,7.0,7.0,0
2010,6,342,808,4,6,14.0,14.0,0
2010,6,342,812,164,6,23.0,23.0,0
2010,6,342,15,205,6,19.0,19.0,0
2010,6,342,5,205,6,18.0,18.0,0
2010,6,342,811,164,6,22.0,22.0,0
2010,6,342,22,3,6,9.0,9.0,0
2010,6,342,155,15,6,16.0,16.0,0
2010,6,342,810,166,6,21.0,21.0,0
2010,6,342,10,166,6,20.0,20.0,0
2010,6,342,37,15,6,15.0,15.0,0
2010,6,342,18,1,6,8.0,8.0,0
2010,6,342,807,3,6,11.0,11.0,0
2010,7,343,1,1,5,2.0,2.0,1
2010,7,343,18,1,5,4.0,4.0,1
2010,7,343,17,9,5,1.0,1.0,1
2010,7,343,30,131,5,5.0,5.0,0
2010,7,343,3,131,5,6.0,6.0,0
2010,7,343,9,4,5,7.0,7.0,0
2010,7,343,13,6,5,8.0,8.0,0
2010,7,343,4,6,5,12.0,12.0,0
2010,7,343,16,10,5,11.0,11.0,0
2010,7,343,155,15,5,10.0,10.0,0
2010,7,343,37,15,5,13.0,13.0,0
2010,7,343,153,5,5,16.0,16.0,0
2010,7,343,24,10,5,18.0,18.0,0
2010,7,343,22,3,5,15.0,15.0,0
2010,7,343,808,4,5,9.0,9.0,0
2010,7,343,67,5,5,14.0,14.0,0
2010,7,343,807,3,5,17.0,17.0,0
2010,7,343,10,166,5,21.0,21.0,0
2010,7,343,810,166,5,23.0,23.0,0
2010,7,343,812,164,5,24.0,24.0,0
2010,7,343,811,164,5,22.0,22.0,0
2010,7,343,20,9,5,3.0,3.0,0
2010,7,343,5,205,5,20.0,20.0,0
2010,7,343,15,205,5,19.0,19.0,0
2010,8,344,1,1,7,1.0,1.0,1
2010,8,344,18,1,7,4.0,5.0,1
2010,8,344,4,6,7,3.0,4.0,1
2010,8,344,20,9,7,2.0,3.0,0
2010,8,344,17,9,7,7.0,2.0,0
2010,8,344,3,131,7,10.0,10.0,0
2010,8,344,9,4,7,8.0,8.0,0
2010,8,344,67,5,7,15.0,15.0,0
2010,8,344,24,10,7,5.0,6.0,0
2010,8,344,16,10,7,9.0,9.0,0
2010,8,344,30,131,7,13.0,13.0,0
2010,8,344,153,5,7,16.0,16.0,0
2010,8,344,807,3,7,12.0,12.0,0
2010,8,344,22,3,7,11.0,11.0,0
2010,8,344,13,6,7,6.0,7.0,0
2010,8,344,5,205,7,19.0,19.0,0
2010,8,344,808,4,7,14.0,14.0,0
2010,8,344,812,164,7,24.0,24.0,0
2010,8,344,810,166,7,23.0,23.0,0
2010,8,344,10,166,7,21.0,21.0,0
2010,8,344,15,205,7,20.0,20.0,0
2010,8,344,37,15,7,17.0,17.0,0
2010,8,344,811,164,7,22.0,22.0,0
2010,8,344,155,15,7,18.0,18.0,0
2010,9,345,20,9,12,1.0,1.0,1
2010,9,345,1,1,12,3.0,3.0,1
2010,9,345,18,1,12,7.0,7.0,1
2010,9,345,22,3,12,9.0,9.0,0
2010,9,345,9,4,12,6.0,6.0,0
2010,9,345,16,10,12,13.0,13.0,0
2010,9,345,155,15,12,18.0,18.0,0
2010,9,345,4,6,12,4.0,4.0,0
2010,9,345,67,5,12,11.0,11.0,0
2010,9,345,3,131,12,12.0,12.0,0
2010,9,345,13,6,12,5.0,5.0,0
2010,9,345,37,15,12,16.0,16.0,0
2010,9,345,153,5,12,17.0,17.0,0
2010,9,345,808,4,12,10.0,10.0,0
2010,9,345,30,131,12,15.0,15.0,0
2010,9,345,24,10,12,14.0,14.0,0
2010,9,345,810,166,12,21.0,21.0,0
2010,9,345,812,164,12,23.0,23.0,0
2010,9,345,10,166,12,22.0,22.0,0
2010,9,345,811,164,12,24.0,24.0,0
2010,9,345,15,205,12,19.0,19.0,0
2010,9,345,807,3,12,8.0,8.0,0
2010,9,345,5,205,12,20.0,20.0,0
2010,9,345,17,9,12,2.0,2.0,0
2010,10,346,17,9,9,2.0,2.0,1
2010,10,346,1,1,9,4.0,4.0,1
2010,10,346,3,131,9,5.0,5.0,1
2010,10,346,18,1,9,14.0,14.0,0
2010,10,346,22,3,9,8.0,8.0,0
2010,10,346,155,15,9,12.0,12.0,0
2010,10,346,20,9,9,1.0,1.0,0
2010,10,346,16,10,9,11.0,11.0,0
2010,10,346,30,131,9,10.0,10.0,0
2010,10,346,807,3,9,13.0,13.0,0
2010,10,346,24,10,9,20.0,15.0,0
2010,10,346,67,5,9,16.0,17.0,0
2010,10,346,808,4,9,15.0,16.0,0
2010,10,346,4,6,9,3.0,3.0,0
2010,10,346,13,6,9,7.0,7.0,0
2010,10,346,15,205,9,21.0,21.0,0
2010,10,346,5,205,9,18.0,19.0,0
2010,10,346,10,166,9,19.0,20.0,0
2010,10,346,812,164,9,23.0,23.0,0
2010,10,346,29,164,9,24.0,24.0,0
2010,10,346,153,5,9,17.0,18.0,0
2010,10,346,37,15,9,9.0,9.0,0
2010,10,346,9,4,9,6.0,6.0,0
2010,10,346,810,166,9,22.0,22.0,0
2010,11,347,4,6,10,2.0,2.0,1
2010,11,347,13,6,10,3.0,3.0,1
2010,11,347,20,9,10,1.0,1.0,1
2010,11,347,1,1,10,6.0,6.0,0
2010,11,347,18,1,10,5.0,5.0,0
2010,11,347,17,9,10,4.0,4.0,0
2010,11,347,9,4,10,7.0,7.0,0
2010,11,347,3,131,10,9.0,9.0,0
2010,11,347,30,131,10,11.0,11.0,0
2010,11,347,808,4,10,13.0,13.0,0
2010,11,347,155,15,10,12.0,12.0,0
2010,11,347,22,3,10,8.0,8.0,0
2010,11,347,807,3,10,10.0,10.0,0
2010,11,347,37,15,10,14.0,15.0,0
2010,11,347,153,5,10,15.0,16.0,0
2010,11,347,24,10,10,21.0,22.0,0
2010,11,347,16,10,10,19.0,14.0,0
2010,11,347,10,166,10,23.0,20.0,0
2010,11,347,811,164,10,20.0,21.0,0
2010,11,347,5,205,10,18.0,19.0,0
2010,11,347,810,166,10,24.0,24.0,0
2010,11,347,29,164,10,22.0,23.0,0
2010,11,347,15,205,10,17.0,18.0,0
2010,11,347,67,5,10,16.0,17.0,0
2010,12,348,17,9,11,2.0,2.0,1
2010,12,348,4,6,11,3.0,3.0,1
2010,12,348,20,9,11,1.0,1.0,1
2010,12,348,13,6,11,4.0,4.0,0
2010,12,348,808,4,11,7.0,7.0,0
2010,12,348,807,3,11,10.0,10.0,0
2010,12,348,37,15,11,9.0,9.0,0
2010,12,348,18,1,11,11.0,11.0,0
2010,12,348,155,15,11,23.0,18.0,0
2010,12,348,22,3,11,12.0,12.0,0
2010,12,348,30,131,11,14.0,14.0,0
2010,12,348,67,5,11,15.0,15.0,0
2010,12,348,24,10,11,16.0,16.0,0
2010,12,348,5,205,11,19.0,20.0,0
2010,12,348,15,205,11,20.0,21.0,0
2010,12,348,10,166,11,18.0,19.0,0
2010,12,348,811,164,11,22.0,23.0,0
2010,12,348,810,166,11,21.0,22.0,0
2010,12,348,29,164,11,24.0,24.0,0
2010,12,348,1,1,11,5.0,5.0,0
2010,12,348,9,4,11,8.0,8.0,0
2010,12,348,3,131,11,6.0,6.0,0
2010,12,348,16,10,11,13.0,13.0,0
2010,12,348,153,5,11,17.0,17.0,0
2010,13,349,1,1,13,2.0,2.0,1
2010,13,349,17,9,13,1.0,1.0,1
2010,13,349,9,4,13,3.0,3.0,1
2010,13,349,13,6,13,6.0,6.0,0
2010,13,349,16,10,13,8.0,8.0,0
2010,13,349,3,131,13,14.0,12.0,0
2010,13,349,30,131,13,21.0,11.0,0
2010,13,349,155,15,13,17.0,19.0,0
2010,13,349,808,4,13,23.0,24.0,0
2010,13,349,24,10,13,12.0,14.0,0
2010,13,349,37,15,13,24.0,22.0,0
2010,13,349,67,5,13,16.0,15.0,0
2010,13,349,153,5,13,11.0,13.0,0
2010,13,349,807,3,13,9.0,9.0,0
2010,13,349,20,9,13,4.0,4.0,0
2010,13,349,5,205,13,13.0,16.0,0
2010,13,349,810,166,13,22.0,23.0,0
2010,13,349,10,166,13,20.0,17.0,0
2010,13,349,15,205,13,15.0,18.0,0
2010,13,349,29,164,13,19.0,21.0,0
2010,13,349,4,6,13,10.0,10.0,0
2010,13,349,18,1,13,5.0,5.0,0
2010,13,349,811,164,13,18.0,20.0,0
2010,13,349,22,3,13,7.0,7.0,0
2010,14,350,4,6,14,1.0,1.0,1
2010,14,350,18,1,14,2.0,2.0,1
2010,14,350,13,6,14,3.0,3.0,1
2010,14,350,20,9,14,6.0,6.0,0
2010,14,350,3,131,14,7.0,7.0,0
2010,14,350,17,9,14,4.0,4.0,0
2010,14,350,807,3,14,8.0,8.0,0
2010,14,350,9,4,14,9.0,9.0,0
2010,14,350,30,131,14,12.0,12.0,0
2010,14,350,22,3,14,10.0,10.0,0
2010,14,350,67,5,14,14.0,14.0,0
2010,14,350,24,10,14,19.0,20.0,0
2010,14,350,808,4,14,20.0,15.0,0
2010,14,350,37,15,14,16.0,17.0,0
2010,14,350,153,5,14,15.0,16.0,0
2010,14,350,16,10,14,11.0,11.0,0
2010,14,350,10,166,14,24.0,21.0,0
2010,14,350,5,205,14,18.0,19.0,0
2010,14,350,29,164,14,23.0,24.0,0
2010,14,350,810,166,14,21.0,22.0,0
2010,14,350,15,205,14,17.0,18.0,0
2010,14,350,811,164,14,22.0,23.0,0
2010,14,350,1,1,14,5.0,5.0,0
2010,14,350,155,15,14,13.0,13.0,0
2010,15,351,4,6,15,1.0,1.0,1
2010,15,351,20,9,15,2.0,2.0,1
2010,15,351,17,9,15,5.0,5.0,1
2010,15,351,18,1,15,4.0,4.0,0
2010,15,351,3,131,15,7.0,7.0,0
2010,15,351,22,3,15,6.0,6.0,0
2010,15,351,9,4,15,8.0,8.0,0
2010,15,351,13,6,15,24.0,24.0,0
2010,15,351,16,10,15,15.0,16.0,0
2010,15,351,807,3,15,17.0,12.0,0
2010,15,351,808,4,15,12.0,13.0,0
2010,15,351,153,5,15,11.0,11.0,0
2010,15,351,30,131,15,9.0,9.0,0
2010,15,351,67,5,15,13.0,14.0,0
2010,15,351,810,166,15,20.0,20.0,0
2010,15,351,5,205,15,19.0,19.0,0
2010,15,351,10,166,15,18.0,18.0,0
2010,15,351,2,15,15,14.0,15.0,0
2010,15,351,1,1,15,3.0,3.0,0
2010,15,351,32,164,15,22.0,22.0,0
2010,15,351,155,15,15,10.0,10.0,0
2010,15,351,811,164,15,23.0,23.0,0
2010,15,351,15,205,15,21.0,21.0,0
2010,15,351,24,10,15,16.0,17.0,0
2010,16,352,20,9,22,1.0,1.0,1
2010,16,352,17,9,22,2.0,2.0,1
2010,16,352,4,6,22,4.0,5.0,1
2010,16,352,18,1,22,5.0,6.0,0
2010,16,352,1,1,22,8.0,3.0,0
2010,16,352,30,131,22,10.0,10.0,0
2010,16,352,155,15,22,14.0,14.0,0
2010,16,352,2,15,22,11.0,11.0,0
2010,16,352,22,3,22,7.0,8.0,0
2010,16,352,67,5,22,18.0,18.0,0
2010,16,352,153,5,22,16.0,16.0,0
2010,16,352,5,205,22,20.0,20.0,0
2010,16,352,15,205,22,19.0,19.0,0
2010,16,352,10,166,22,22.0,22.0,0
2010,16,352,811,164,22,23.0,23.0,0
2010,16,352,29,164,22,24.0,24.0,0
2010,16,352,3,131,22,6.0,7.0,0
2010,16,352,16,10,22,15.0,15.0,0
2010,16,352,9,4,22,3.0,4.0,0
2010,16,352,807,3,22,9.0,9.0,0
2010,16,352,13,6,22,12.0,12.0,0
2010,16,352,808,4,22,13.0,13.0,0
2010,16,352,24,10,22,17.0,17.0,0
2010,16,352,810,166,22,21.0,21.0,0
2010,17,353,4,6,35,3.0,3.0,1
2010,17,353,1,1,35,4.0,4.0,1
2010,17,353,13,6,35,6.0,6.0,1
2010,17,353,30,131,35,9.0,9.0,0
2010,17,353,9,4,35,8.0,8.0,0
2010,17,353,24,10,35,17.0,18.0,0
2010,17,353,22,3,35,10.0,10.0,0
2010,17,353,155,15,35,12.0,12.0,0
2010,17,353,2,15,35,13.0,13.0,0
2010,17,353,807,3,35,11.0,11.0,0
2010,17,353,153,5,35,15.0,16.0,0
2010,17,353,18,1,35,7.0,7.0,0
2010,17,353,5,205,35,21.0,21.0,0
2010,17,353,811,164,35,24.0,24.0,0
2010,17,353,29,164,35,23.0,23.0,0
2010,17,353,16,10,35,14.0,14.0,0
2010,17,353,20,9,35,1.0,1.0,0
2010,17,353,808,4,35,20.0,15.0,0
2010,17,353,10,166,35,19.0,20.0,0
2010,17,353,67,5,35,16.0,17.0,0
2010,17,353,810,166,35,22.0,22.0,0
2010,17,353,15,205,35,18.0,19.0,0
2010,17,353,17,9,35,2.0,2.0,0
2010,17,353,3,131,35,5.0,5.0,0
2010,18,354,20,9,18,2.0,2.0,1
2010,18,354,17,9,18,3.0,3.0,1
2010,18,354,4,6,18,5.0,5.0,1
2010,18,354,1,1,18,4.0,4.0,0
2010,18,354,18,1,18,11.0,11.0,0
2010,18,354,3,131,18,13.0,13.0,0
2010,18,354,30,131,18,8.0,8.0,0
2010,18,354,807,3,18,1.0,1.0,0
2010,18,354,9,4,18,7.0,7.0,0
2010,18,354,155,15,18,12.0,12.0,0
2010,18,354,153,5,18,14.0,14.0,0
2010,18,354,16,10,18,22.0,18.0,0
2010,18,354,67,5,18,19.0,15.0,0
2010,18,354,22,3,18,6.0,6.0,0
2010,18,354,13,6,18,9.0,9.0,0
2010,18,354,808,4,18,10.0,10.0,0
2010,18,354,2,15,18,15.0,16.0,0
2010,18,354,5,205,18,20.0,21.0,0
2010,18,354,15,205,18,18.0,20.0,0
2010,18,354,10,166,18,17.0,19.0,0
2010,18,354,811,164,18,24.0,24.0,0
2010,18,354,32,164,18,23.0,23.0,0
2010,18,354,810,166,18,21.0,22.0,0
2010,18,354,24,10,18,16.0,17.0,0
2010,19,355,20,9,24,1.0,1.0,1
2010,19,355,1,1,24,2.0,2.0,1
2010,19,355,18,1,24,4.0,4.0,1
2010,19,355,3,131,24,9.0,9.0,0
2010,19,355,9,4,24,11.0,11.0,0
2010,19,355,808,4,24,10.0,10.0,0
2010,19,355,4,6,24,3.0,3.0,0
2010,19,355,17,9,24,5.0,5.0,0
2010,19,355,153,5,24,17.0,17.0,0
2010,19,355,13,6,24,6.0,6.0,0
2010,19,355,2,15,24,14.0,14.0,0
2010,19,355,22,3,24,7.0,7.0,0
2010,19,355,16,10,24,13.0,13.0,0
2010,19,355,155,15,24,12.0,12.0,0
2010,19,355,67,5,24,18.0,18.0,0
2010,19,355,807,3,24,15.0,15.0,0
2010,19,355,5,205,24,20.0,20.0,0
2010,19,355,810,166,24,22.0,22.0,0
2010,19,355,811,164,24,23.0,23.0,0
2010,19,355,32,164,24,24.0,24.0,0
2010,19,355,15,205,24,19.0,19.0,0
2010,19,355,10,166,24,21.0,21.0,0
2010,19,355,30,131,24,8.0,8.0,0
2010,19,355,24,10,24,16.0,16.0,0
2011,1,841,20,9,1,1.0,1.0,1
2011,1,841,1,1,1,2.0,2.0,1
2011,1,841,808,4,1,6.0,6.0,1
2011,1,841,4,6,1,5.0,5.0,0
2011,1,841,17,9,1,3.0,3.0,0
2011,1,841,18,1,1,4.0,4.0,0
2011,1,841,13,6,1,8.0,8.0,0
2011,1,841,67,5,1,10.0,10.0,0
2011,1,841,16,10,1,16.0,16.0,0
2011,1,841,814,10,1,14.0,14.0,0
2011,1,841,153,5,1,12.0,12.0,0
2011,1,841,2,4,1,18.0,18.0,0
2011,1,841,15,205,1,20.0,20.0,0
2011,1,841,816,166,1,22.0,22.0,0
2011,1,841,10,166,1,21.0,21.0,0
2011,1,841,22,3,1,17.0,17.0,0
2011,1,841,3,131,1,7.0,7.0,0
2011,1,841,5,205,1,19.0,19.0,0
2011,1,841,30,131,1,11.0,11.0,0
2011,1,841,813,3,1,15.0,15.0,0
2011,1,841,155,15,1,9.0,9.0,0
2011,1,841,815,15,1,13.0,13.0,0
2011,2,842,20,9,2,1.0,1.0,1
2011,2,842,18,1,2,4.0,4.0,1
2011,2,842,2,4,2,6.0,6.0,1
2011,2,842,17,9,2,3.0,3.0,0
2011,2,842,13,6,2,7.0,7.0,0
2011,2,842,4,6,2,5.0,5.0,0
2011,2,842,155,15,2,10.0,10.0,0
2011,2,842,1,1,2,2.0,2.0,0
2011,2,842,30,131,2,11.0,11.0,0
2011,2,842,814,10,2,14.0,14.0,0
2011,2,842,16,10,2,17.0,17.0,0
2011,2,842,3,131,2,9.0,9.0,0
2011,2,842,67,5,2,12.0,12.0,0
2011,2,842,153,5,2,13.0,13.0,0
2011,2,842,5,205,2,19.0,19.0,0
2011,2,842,10,166,2,21.0,21.0,0
2011,2,842,808,4,2,8.0,8.0,0
2011,2,842,24,164,2,23.0,23.0,0
2011,2,842,816,166,2,22.0,22.0,0
2011,2,842,15,205,2,20.0,20.0,0
2011,2,842,815,15,2,16.0,16.0,0
2011,2,842,22,3,2,15.0,15.0,0
2011,2,842,39,164,2,24.0,24.0,0
2011,2,842,813,3,2,18.0,18.0,0
2011,3,843,1,1,17,3.0,3.0,1
2011,3,843,20,9,17,1.0,1.0,1
2011,3,843,17,9,17,18.0,18.0,1
2011,3,843,18,1,17,2.0,2.0,0
2011,3,843,3,131,17,4.0,4.0,0
2011,3,843,13,6,17,6.0,6.0,0
2011,3,843,4,6,17,5.0,5.0,0
2011,3,843,30,131,17,14.0,14.0,0
2011,3,843,808,4,17,10.0,10.0,0
2011,3,843,155,15,17,13.0,13.0,0
2011,3,843,814,10,17,8.0,8.0,0
2011,3,843,2,4,17,16.0,16.0,0
2011,3,843,22,3,17,15.0,15.0,0
2011,3,843,67,5,17,9.0,9.0,0
2011,3,843,16,10,17,11.0,11.0,0
2011,3,843,5,205,17,19.0,19.0,0
2011,3,843,815,15,17,12.0,12.0,0
2011,3,843,813,3,17,17.0,17.0,0
2011,3,843,15,205,17,20.0,20.0,0
2011,3,843,816,166,17,21.0,21.0,0
2011,3,843,10,166,17,22.0,22.0,0
2011,3,843,24,164,17,23.0,23.0,0
2011,3,843,39,164,17,24.0,24.0,0
2011,3,843,153,5,17,7.0,7.0,0
2011,4,844,20,9,5,1.0,1.0,1
2011,4,844,17,9,5,2.0,2.0,1
2011,4,844,4,6,5,5.0,5.0,1
2011,4,844,1,1,5,4.0,4.0,0
2011,4,844,3,131,5,3.0,3.0,0
2011,4,844,18,1,5,6.0,6.0,0
2011,4,844,2,4,5,9.0,9.0,0
2011,4,844,808,4,5,7.0,7.0,0
2011,4,844,67,5,5,16.0,16.0,0
2011,4,844,13,6,5,10.0,10.0,0
2011,4,844,30,131,5,8.0,8.0,0
2011,4,844,16,10,5,12.0,12.0,0
2011,4,844,815,15,5,15.0,15.0,0
2011,4,844,22,3,5,11.0,11.0,0
2011,4,844,153,5,5,17.0,17.0,0
2011,4,844,813,3,5,14.0,14.0,0
2011,4,844,15,205,5,19.0,19.0,0
2011,4,844,5,205,5,18.0,18.0,0
2011,4,844,816,166,5,23.0,20.0,0
2011,4,844,39,164,5,22.0,23.0,0
2011,4,844,24,164,5,20.0,21.0,0
2011,4,844,814,10,5,13.0,13.0,0
2011,4,844,10,166,5,21.0,22.0,0
2011,5,845,20,9,4,2.0,2.0,1
2011,5,845,1,1,4,3.0,3.0,1
2011,5,845,18,1,4,5.0,5.0,1
2011,5,845,17,9,4,1.0,1.0,0
2011,5,845,4,6,4,4.0,4.0,0
2011,5,845,30,131,4,10.0,10.0,0
2011,5,845,3,131,4,7.0,7.0,0
2011,5,845,815,15,4,12.0,12.0,0
2011,5,845,155,15,4,14.0,14.0,0
2011,5,845,808,4,4,6.0,6.0,0
2011,5,845,814,10,4,16.0,16.0,0
2011,5,845,16,10,4,17.0,17.0,0
2011,5,845,67,5,4,11.0,11.0,0
2011,5,845,813,3,4,9.0,9.0,0
2011,5,845,153,5,4,13.0,13.0,0
2011,5,845,22,3,4,19.0,19.0,0
2011,5,845,15,205,4,18.0,18.0,0
2011,5,845,10,166,4,20.0,20.0,0
2011,5,845,816,166,4,23.0,23.0,0
2011,5,845,39,164,4,22.0,22.0,0
2011,5,845,13,6,4,8.0,8.0,0
2011,5,845,5,205,4,15.0,15.0,0
2011,5,845,24,164,4,21.0,21.0,0
2011,6,846,20,9,6,1.0,1.0,1
2011,6,846,4,6,6,4.0,4.0,1
2011,6,846,18,1,6,2.0,2.0,1
2011,6,846,17,9,6,3.0,3.0,0
2011,6,846,155,15,6,12.0,13.0,0
2011,6,846,1,1,6,9.0,7.0,0
2011,6,846,16,10,6,14.0,15.0,0
2011,6,846,2,4,6,15.0,16.0,0
2011,6,846,22,3,6,11.0,12.0,0
2011,6,846,67,5,6,16.0,17.0,0
2011,6,846,3,131,6,7.0,8.0,0
2011,6,846,814,10,6,13.0,14.0,0
2011,6,846,15,205,6,18.0,19.0,0
2011,6,846,5,205,6,17.0,18.0,0
2011,6,846,816,166,6,21.0,22.0,0
2011,6,846,24,164,6,23.0,24.0,0
2011,6,846,39,164,6,22.0,23.0,0
2011,6,846,813,3,6,8.0,9.0,0
2011,6,846,808,4,6,10.0,11.0,0
